epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6335,0,3.2779,0,0,0,0,0,0,25.6143,0,0.000299844,0.000299844,0.000299844
2,99.4365,0,2.64489,0,0,0,0,0,0,11.0476,0,0.000573003,0.000573003,0.000573003
3,148.284,0,1.79116,0,0,0,0,0,0,4.09431,0,0.000816165,0.000816165,0.000816165
4,196.101,0,1.07341,0,0,0,0,0,0,2.38947,0,0.000774013,0.000774013,0.000774013
5,242.88,0,0.57795,0,0,0,0,0,0,1.21394,0,0.000729018,0.000729018,0.000729018
6,289.764,0,0.29375,0,0,0,0,0,0,0.5945,0,0.000684022,0.000684022,0.000684022
7,334.696,0,0.15256,0,0,0,0,0,0,0.33275,0,0.000639027,0.000639027,0.000639027
8,383.546,0,0.09018,0,0,0,0,0,0,0.22064,0,0.000594031,0.000594031,0.000594031
9,430.264,0,0.06076,0,0,0,0,0,0,0.15735,0,0.000549036,0.000549036,0.000549036
10,474.352,0,0.04644,0,0,0,0,0,0,0.13061,0,0.00050404,0.00050404,0.00050404
11,516.666,0,0.03989,0,0,0,0,0,0,0.11436,0,0.000459045,0.000459045,0.000459045
12,555.718,0,0.03599,0,0,0,0,0,0,0.10508,0,0.000414049,0.000414049,0.000414049
13,599.55,0,0.03331,0,0,0,0,0,0,0.09652,0,0.000369054,0.000369054,0.000369054
14,643.997,0,0.02995,0,0,0,0,0,0,0.08657,0,0.000324058,0.000324058,0.000324058
15,686.942,0,0.02489,0,0,0,0,0,0,0.06431,0,0.000279063,0.000279063,0.000279063
16,730.449,0,0.01996,0,0,0,0,0,0,0.0553,0,0.000234068,0.000234068,0.000234068
17,773.865,0,0.01792,0,0,0,0,0,0,0.05296,0,0.000189072,0.000189072,0.000189072
18,818.469,0,0.01714,0,0,0,0,0,0,0.05134,0,0.000144077,0.000144077,0.000144077
19,862.288,0,0.01656,0,0,0,0,0,0,0.04994,0,9.9081e-05,9.9081e-05,9.9081e-05
20,905.17,0,0.01622,0,0,0,0,0,0,0.04924,0,5.40855e-05,5.40855e-05,5.40855e-05
